    #P [MeV^4]                #dens_energia [MeV^4]      T [MeV]
   63877.082227468491       -63877.077600227130        30.000000000000000     
   63877.082339525223       -63877.072139572825        31.000000000000000     
   63877.082821130753       -63877.061314661536        32.000000000000000     
   63877.083755970001       -63877.040329033873        33.000000000000000     
   63877.085674047470       -63876.999993649013        34.000000000000000     
   63877.089027166367       -63876.925787253531        35.000000000000000     
   63877.095432281494       -63876.793332132911        36.000000000000000     
   63877.106528520584       -63876.566141236719        37.000000000000000     
   63877.125995635986       -63876.184363102337        38.000000000000000     
   63877.158044338226       -63875.557213195367        39.000000000000000     
   63877.211039781570       -63874.552303580684        40.000000000000000     
   63877.295733928680       -63872.973026894862        41.000000000000000     
   63877.428220272064       -63870.549511913676        42.000000000000000     
   63877.632276296616       -63866.885663474277        43.000000000000000     
   63877.941121101379       -63861.444974603168        44.000000000000000     
   63878.399912834167       -63853.494105582613        45.000000000000000     
   63879.072000265121       -63842.046232171226        46.000000000000000     
   63880.042310476303       -63825.791926702215        47.000000000000000     
   63881.423693656921       -63803.012413048695        48.000000000000000     
   63883.366143465042       -63771.478555800873        49.000000000000000     
   63886.064715862274       -63728.319239844401        50.000000000000000     
   63889.771043777466       -63669.894311503951        51.000000000000000     
   63894.808007717133       -63591.604195335072        52.000000000000000     
   63901.585450649261       -63487.700049184816        53.000000000000000     
   63910.618052482605       -63351.044409623915        54.000000000000000     
   63922.548471212387       -63172.857976156578        55.000000000000000     
   63938.173147201538       -62942.396156989089        56.000000000000000     
   63958.472171545029       -62646.608312523211        57.000000000000000     
   63984.642721176147       -62269.737626913215        58.000000000000000     
   64018.138548612595       -61792.864864586678        59.000000000000000     
   64060.715728521347       -61193.410120803994        60.000000000000000     
   64114.482280731201       -60444.552622463714        61.000000000000000     
   64181.954866647720       -59514.596004756037        62.000000000000000     
   64266.125361680984       -58366.256179672600        63.000000000000000     
   64370.530508995056       -56955.862234474502        64.000000000000000     
   64499.335227966309       -55232.481495368003        65.000000000000000     
   64657.420747995377       -53136.942628219789        66.000000000000000     
   64850.487073898315       -50600.758807683225        67.000000000000000     
   65085.161736726761       -47544.937911715730        68.000000000000000     
   65369.124063014984       -43878.682642371896        69.000000000000000     
   65711.241212368011       -39497.954007558656        70.000000000000000     
   66121.715010166168       -34283.896488889062        71.000000000000000     
   66612.249623537064       -28101.116831795283        72.000000000000000     
   67196.228979825974       -20795.812088216757        73.000000000000000     
   67888.914834022522       -12193.700130519777        74.000000000000000     
   68707.661562681198       -2097.7895241480146        75.000000000000000     
   69672.152182579041        9714.0714322956628        76.000000000000000     
   70804.653000831604        23491.858247249285        77.000000000000000     
   72130.295794248581        39516.245982068795        78.000000000000000     
   73677.377156257629        58101.789162104455        79.000000000000000     
   75477.692687511444        79600.311959790968        80.000000000000000     
   77566.890630960464        104404.64755427811        81.000000000000000     
   79984.862312793732        132952.68136019155        82.000000000000000     
   82776.161652565002        165731.69883374040        83.000000000000000     
   85990.461913108826        203283.19087274693        84.000000000000000     
   89683.044814586639        246208.00552858610        85.000000000000000     
   93915.336373090744        295171.93334952061        86.000000000000000     
   98755.481505870819        350911.83792795497        87.000000000000000     
   104278.96761345863        414242.24207833933        88.000000000000000     
   110569.29483175278        486062.52375972737        89.000000000000000     
   117718.70483255386        567364.73810878920        90.000000000000000     
   125828.96388626099        659242.01611228171        91.000000000000000     
   135012.20953893661        762897.92756198952        92.000000000000000     
   145391.86841368675        879656.45180975331        93.000000000000000     
   157103.64339637756        1010972.9092875372        94.000000000000000     
   170296.57962608337        1158445.9181150170        95.000000000000000     
   185134.22240781784        1323830.3871885340        96.000000000000000     
   201795.86167192459        1509051.7256069446        97.000000000000000     
   220477.88360047340        1716221.3702260414        98.000000000000000     
   241395.22960424423        1947653.7798780324        99.000000000000000     
   264782.97785806656        2205885.0529587716        100.00000000000000     
   290898.05454826355        2493693.3542538630        101.00000000000000     
   320021.09263467789        2814121.3532180446        102.00000000000000     
   352458.44527339935        3170500.9112852453        103.00000000000000     
   388544.37358570099        3566480.2816963191        104.00000000000000     
   428643.42732930183        4006054.1298174653        105.00000000000000     
   473153.03138399124        4493596.7177847298        106.00000000000000     
   522506.30882811546        5033898.6581167253        107.00000000000000     
   577175.15578007698        5632207.6926127132        108.00000000000000     
   637673.60296440125        6294274.0264443168        109.00000000000000     
   704561.49506807327        7026400.8314636527        110.00000000000000     
   778448.51772952080        7835500.6314634420        111.00000000000000     
   859998.61605548859        8729158.3929969594        112.00000000000000     
   949934.85761952400        9715702.2926617060        113.00000000000000     
   1049044.7847135067        10804283.289812097        114.00000000000000     
   1158186.3152253628        12004964.841129061        115.00000000000000     
   1278294.2781281471        13328824.327145560        116.00000000000000     
   1410387.6442892551        14788068.059135480        117.00000000000000     
   1555577.5667972565        16396162.083631590        118.00000000000000     
   1715076.3290340900        18167981.451017428        119.00000000000000     
   1890207.3361334801        20119981.132426955        120.00000000000000     
   2082416.2987878323        22270392.455571610        121.00000000000000     
   2293283.7953698635        24639449.752708785        122.00000000000000     
   2524539.4199993610        27249652.868406530        123.00000000000000     
   2778077.7739815712        30126072.762041721        124.00000000000000     
   3055976.6079146862        33296708.642967261        125.00000000000000     
   3360517.4797685146        36792907.654768020        126.00000000000000     
   3694209.3841006756        40649860.602077447        127.00000000000000     
   4059815.8866672516        44907190.879353754        128.00000000000000     
   4460386.4508147240        49609658.425835423        129.00000000000000     
   4899292.7788770199        54808006.730516940        130.00000000000000     
   5380271.2132837772        60559989.240775265        131.00000000000000     
